seller_state,month_year,revenue_variation_by_month
SP,2016-10,
SP,2016-11,-140.63545468112
SP,2016-12,-683.134834206305
SP,2017-01,94.9114203399379
SP,2017-02,84.8379993373509
SP,2017-03,49.0549358989723
SP,2017-04,-27.1404833218497
SP,2017-05,51.919973075653
SP,2017-06,-17.4232079849831
SP,2017-07,13.632714380597
SP,2017-08,11.1810017854948
SP,2017-09,-7.04105357734679
SP,2017-10,16.4176294367413
SP,2017-11,-2.78581172660533
SP,2017-12,31.5076299667681
SP,2018-01,-4.41974940124343
SP,2018-02,-20.8448146588431
SP,2018-03,20.3978518585045
SP,2018-04,22.4934017817254
SP,2018-05,-10.8735915480712
SP,2018-06,-6.73649830133488
SP,2018-07,-26.8868266427913
SP,2018-08,28.7309432258528
SP,2018-09,-10330.2192083227
SP,2018-10,-17702.8456195384
