customer_state,seller_state,avg_carrier_delivery_date,avg_customer_delivery_date
CE,PE,1.7647058823529411,10.764705882352942
DF,MT,4.5,11.166666666666666
ES,RS,3.1724137931034484,11.862068965517242
RN,RJ,2.8636363636363638,17.863636363636363
BA,MA,6.3,21.8
GO,SE,3.0,16.0
MS,DF,1.75,13.625
AL,PR,4.5813953488372094,30.953488372093023
RN,BA,3.5,17.8
BA,GO,1.875,14.375
AL,MG,3.973684210526316,22.210526315789473
PB,SC,3.6,26.25
SC,PE,2.9,18.4
AP,GO,2.0,25.0
RJ,MG,3.087843137254902,13.96078431372549
RO,PE,1.0,20.333333333333332
MG,PI,3.0,15.0
SP,RJ,2.8700680272108845,11.65986394557823
RJ,PR,3.381165919282511,16.79730941704036
AP,MA,7.0,28.0
SP,BA,2.933333333333333,11.386666666666667
DF,DF,4.163934426229508,5.901639344262295
GO,MS,1.0,11.0
MG,PB,3.0,9.5
MS,MT,4.4,13.2
MA,RS,8.333333333333334,26.066666666666666
BA,CE,2.6666666666666665,19.666666666666668
PR,PI,0.0,12.0
PR,PE,2.6666666666666665,14.777777777777779
PI,SC,2.789473684210526,22.05263157894737
MT,SP,3.240473061760841,17.587385019710908
AL,MA,10.75,30.0
PE,ES,2.5,16.0
RJ,CE,2.0,17.4
BA,MG,3.2590799031477,18.135593220338983
ES,SE,6.0,15.0
AL,GO,4.714285714285714,19.714285714285715
RS,DF,3.1739130434782608,17.47826086956522
MG,PE,2.5972222222222223,11.541666666666666
GO,RS,3.3846153846153846,15.807692307692308
SC,PI,1.0,26.0
BA,PR,3.9938650306748467,21.496932515337424
AP,SP,3.8032786885245904,29.311475409836067
AL,RN,3.0,10.0
SE,MG,4.926829268292683,25.121951219512194
SC,SC,3.208053691275168,8.399328859060402
SE,PR,3.0454545454545454,23.0
PB,PE,2.0,11.125
RO,SC,2.3333333333333335,16.88888888888889
ES,BA,2.6923076923076925,13.692307692307692
CE,ES,3.0,13.75
PI,PI,1.0,2.0
ES,RJ,3.054054054054054,12.27027027027027
RN,RS,2.75,13.625
MT,GO,2.0,14.6
PB,PB,5.0,8.0
PA,RS,4.043478260869565,23.130434782608695
SP,SE,0.5,11.0
PR,RO,0.0,8.0
TO,RJ,3.375,15.1875
PR,SC,2.6996904024767803,10.786377708978328
SE,CE,1.6666666666666667,14.333333333333334
PI,PE,1.375,18.375
TO,BA,3.5,15.5
MG,SC,3.4936974789915967,14.5609243697479
AL,SP,3.3443223443223444,24.55677655677656
PB,PI,3.0,12.0
MT,MA,8.25,23.0
MT,CE,1.6666666666666667,25.666666666666668
GO,RJ,2.512,14.976
MG,ES,2.4313725490196076,10.607843137254902
RJ,SP,3.4888865255769437,16.034776135275976
BA,RN,6.6,16.2
GO,BA,3.4545454545454546,17.90909090909091
AC,DF,4.0,11.0
PR,ES,2.625,11.5625
SP,MS,4.315789473684211,9.157894736842104
PE,PE,1.9166666666666667,6.75
SE,MA,6.2,29.2
MT,PR,2.7246376811594204,17.608695652173914
PE,PI,2.0,24.0
CE,SC,4.681818181818182,27.863636363636363
MT,MG,3.609375,21.046875
MA,RJ,2.6666666666666665,20.366666666666667
SC,ES,3.769230769230769,18.53846153846154
PA,SE,3.0,16.0
RO,ES,2.0,9.0
MA,BA,3.8823529411764706,25.058823529411764
PE,PB,2.0,6.5
SP,RS,3.2576769025367156,10.130841121495328
BA,SP,3.3823305407463824,19.68012185833968
RJ,RN,8.0,28.0
AM,SC,2.25,27.5
CE,RJ,3.4464285714285716,25.982142857142858
DF,MG,3.037037037037037,11.537037037037036
MA,SC,4.2272727272727275,23.181818181818183
ES,ES,2.111111111111111,8.222222222222221
RN,PE,2.5,8.25
AM,BA,5.0,33.0
RS,CE,3.0,16.0
DF,PR,3.6647727272727275,13.573863636363637
AC,SP,3.1666666666666665,20.454545454545453
AM,RJ,3.0,22.0
PE,SE,2.5,11.5
RJ,DF,2.552380952380952,14.038095238095238
CE,BA,3.7857142857142856,15.142857142857142
PA,PB,1.0,19.0
PB,RS,2.375,14.75
RS,MG,3.2580645161290325,17.0
MS,MA,3.3333333333333335,13.666666666666666
GO,SC,2.6493506493506493,18.4025974025974
BA,DF,4.078947368421052,18.342105263157894
RN,PB,8.0,11.0
RS,PR,3.2014598540145984,13.309489051094891
DF,CE,4.0,10.0
MS,GO,1.777777777777778,13.666666666666666
PA,PE,1.8571428571428572,18.428571428571427
PI,RS,2.8461538461538463,16.307692307692307
TO,ES,1.5,17.5
PR,RJ,2.878787878787879,12.632034632034632
MG,BA,3.0377358490566038,10.39622641509434
TO,SC,2.5,19.916666666666668
SP,PB,2.7777777777777777,10.666666666666666
PE,RS,3.555555555555556,21.555555555555557
DF,GO,1.9655172413793103,9.172413793103448
BA,MT,2.75,14.0
SP,PI,1.5,13.0
MS,CE,4.0,13.0
MG,RJ,2.7777777777777777,12.130718954248366
DF,MA,4.464285714285714,16.035714285714285
PR,BA,3.3846153846153846,14.538461538461538
GO,ES,3.3333333333333335,12.666666666666666
RJ,MT,2.142857142857143,15.214285714285714
SC,RJ,3.473684210526316,15.075187969924812
RO,RJ,3.3076923076923075,27.846153846153847
RS,GO,3.3333333333333335,17.166666666666668
SP,PE,2.295238095238095,11.847619047619048
AL,DF,2.75,13.75
MS,PR,2.4545454545454546,12.606060606060606
MS,MG,3.1739130434782608,15.63768115942029
RS,MA,3.1176470588235294,18.941176470588236
